register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
47,gridfreqlimit2high,GridFreqLimit2High,0.01Hz,,According to specific regulatory requirements,,WD,,Power grid frequency level 2 over-frequency protection point
48,gridfreqlimit2lowtime,GridFreqLimit2LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 2 under-frequency protection time
49,gridfreqlimit2hightime,GridFreqLimit2HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 2 over-frequency protection time
50,gridfreqlimit3low,GridFreqLimit3Low,0.01Hz,,According to specific regulatory requirements,,WD,,Grid frequency level 3 under-frequency protection point
51,gridfreqlimit3high,GridFreqLimit3High,0.01Hz,,According to specific regulatory requirements,,WD,,Grid frequency level 3 over-frequency protection point
52,gridfreqlimit3lowtime,GridFreqLimit3LowTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 3 under-frequency protection time
53,gridfreqlimit3hightime,GridFreqLimit3HighTime,cycles,,According to specific regulatory requirements,,WD,,Grid frequency level 3 over-frequency protection time
54,maxqpercentforqv,MaxQPercentForQV,%,,According to specific regulatory requirements,,WD,,The maximum percentage of reactive power for the Q(V) curve
55,v1l,V1L,0.1V,,According to specific regulatory requirements,,WD,,Q(V) curve under-voltage 1
56,v2l,V2L,0.1V,,According to specific regulatory requirements,,WD,,Q(V) curve under-voltage 2
57,v1h,V1H,0.1V,,According to specific regulatory requirements,,WD,,Q(V) curve over-voltage 1
58,v2h,V2H,0.1V,,According to specific regulatory requirements,,WD,,Q(V) curve over-voltage 2
59,reactivepowercmdtype,ReactivePowerCMDType,0-7,,"{""0"":""unit power factor"",""1"":""fixed PF"",""2"":""default PF curve (American machine: Q(P))"",""3"":""custom PF curve"",""4"":""capacitive reactive power percentage"",""5"":""inductive reactive power percentage"",""6"":""QV curve"",""7"":""QV_Dynamic""}",,W,,Reactive power command type 0 - unit power factor 1 - fixed PF 2 - default PF curve (American machine: Q(P)) 3 - custom PF curve 4 - capacitive reactive power percentage 5- inductive reactive power percentage 6-QV curve 7-QV_Dynamic
